#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 120 128
# Band-Index    1
   3.02215      3.986403      3.986161
   2.98279      3.643454      3.643208
   2.94343      3.296519      3.296271
   2.90407      2.950309      2.950061
   2.86471      2.607421      2.607174
   2.82534      2.269567      2.269321
   2.78598      1.937969      1.937723
   2.74662      1.613551      1.613306
   2.70726      1.297024      1.296780
   2.66790      0.988959      0.988716
   2.62854      0.689820      0.689578
   2.58917      0.399995      0.399754
   2.54981      0.119812      0.119572
   2.51045     -0.150447     -0.150687
   2.47109     -0.410540     -0.410780
   2.43173     -0.660247     -0.660486
   2.39237     -0.899378     -0.899617
   2.35300     -1.127759     -1.127997
   2.35300     -1.127759     -1.127997
   2.29734     -1.116034     -1.116272
   2.24167     -1.080875     -1.081113
   2.18601     -1.022330     -1.022569
   2.13034     -0.940482     -0.940720
   2.07467     -0.835446     -0.835685
   2.01901     -0.707383     -0.707622
   1.96334     -0.556497     -0.556737
   1.90768     -0.383049     -0.383289
   1.85201     -0.187371     -0.187612
   1.79635      0.030110      0.029867
   1.74068      0.268841      0.268597
   1.68501      0.528088      0.527843
   1.62935      0.806832      0.806585
   1.57368      1.103619      1.103369
   1.51802      1.416258      1.416005
   1.46235      1.741281      1.741025
   1.40668      2.072931      2.072671
   1.35102      2.401398      2.401133
   1.29535      2.710666      2.710399
   1.29535      2.710666      2.710399
   1.22718      2.520097      2.519831
   1.15900      2.362318      2.362052
   1.09082      2.237291      2.237025
   1.02265      2.144986      2.144720
   0.95447      2.085380      2.085115
   0.88629      2.058453      2.058189
   0.81812      2.064194      2.063930
   0.74994      2.102594      2.102331
   0.68176      2.173650      2.173388
   0.61359      2.277360      2.277098
   0.54541      2.413717      2.413457
   0.47724      2.582708      2.582449
   0.40906      2.784292      2.784035
   0.34088      3.018375      3.018120
   0.27271      3.284729      3.284475
   0.20453      3.582764      3.582514
   0.13635      3.910648      3.910403
   0.06818      4.259700      4.259468
   0.00000      4.516074      4.515879
 
# Band-Index    3
   0.00000      4.516074      4.515879
   0.06818      4.259700      4.259468
   0.13635      3.910648      3.910403
   0.20453      3.582764      3.582514
   0.27271      3.284729      3.284475
   0.34088      3.018375      3.018120
   0.40906      2.784292      2.784035
   0.47724      2.582708      2.582449
   0.54541      2.413717      2.413457
   0.61359      2.277360      2.277098
   0.68176      2.173650      2.173388
   0.74994      2.102594      2.102331
   0.81812      2.064194      2.063930
   0.88629      2.058453      2.058189
   0.95447      2.085380      2.085115
   1.02265      2.144986      2.144720
   1.09082      2.237291      2.237025
   1.15900      2.362318      2.362052
   1.22718      2.520097      2.519831
   1.29535      2.710666      2.710399
   1.29535      2.710666      2.710399
   1.35102      2.721590      2.721323
   1.40668      2.754367      2.754100
   1.46235      2.809003      2.808736
   1.51802      2.885510      2.885244
   1.57368      2.983904      2.983638
   1.62935      3.104207      3.103942
   1.68501      3.246442      3.246177
   1.74068      3.410638      3.410374
   1.79635      3.596827      3.596564
   1.85201      3.805043      3.804780
   1.90768      4.035321      4.035059
   1.96334      4.287699      4.287438
   2.01901      4.562213      4.561954
   2.07467      4.858898      4.858640
   2.13034      5.177782      5.177525
   2.18601      5.518871      5.518616
   2.24167      5.882116      5.881864
   2.29734      6.267117      6.266869
   2.35300      6.639068      6.638877
   2.35300      6.639068      6.638877
   2.39237      6.421569      6.421377
   2.43173      6.215804      6.215612
   2.47109      6.021779      6.021586
   2.51045      5.839496      5.839303
   2.54981      5.668960      5.668767
   2.58917      5.510175      5.509981
   2.62854      5.363142      5.362948
   2.66790      5.227864      5.227670
   2.70726      5.104343      5.104149
   2.74662      4.992581      4.992387
   2.78598      4.892580      4.892386
   2.82534      4.804341      4.804146
   2.86471      4.727865      4.727670
   2.90407      4.663152      4.662958
   2.94343      4.610205      4.610010
   2.98279      4.569023      4.568828
   3.02215      4.539607      4.539412
   3.06151      4.521957      4.521762
   3.10088      4.516074      4.515879
   3.10088      4.516074      4.515879
   3.13496      4.425508      4.425293
   3.16905      4.259700      4.259468
   3.20314      4.083907      4.083667
   3.23723      3.910648      3.910403
   3.27132      3.743204      3.742956
   3.30541      3.582764      3.582514
   3.33949      3.429851      3.429600
   3.37358      3.284729      3.284475
   3.40767      3.147542      3.147287
   3.44176      3.018375      3.018120
   3.47585      2.897281      2.897024
   3.50994      2.784292      2.784035
   3.54402      2.679431      2.679172
   3.57811      2.582708      2.582449
   3.61220      2.494135      2.493876
   3.64629      2.413717      2.413457
   3.68038      2.341458      2.341197
   3.71446      2.277360      2.277098
   3.74855      2.221424      2.221162
   3.74855      2.221424      2.221162
   3.81383      2.342669      2.342421
   3.87910      2.237487      2.237255
   3.94437      2.083719      2.083494
   4.00965      1.936678      1.936458
   4.07492      1.811461      1.811243
   4.14020      1.713459      1.713243
   4.20547      1.645009      1.644793
   4.27074      1.607179      1.606963
   4.33602      1.600362      1.600146
   4.40129      1.624470      1.624252
   4.46657      1.678966      1.678747
   4.53184      1.762781      1.762560
   4.59711      1.874097      1.873872
   4.66239      2.009886      2.009657
   4.72766      2.165059      2.164824
   4.79294      2.330807      2.330563
   4.85821      2.491995      2.491742
   4.92348      2.625796      2.625533
   4.98876      2.710666      2.710399
   4.98876      2.221424      2.221162
   5.02285      2.380877      2.380616
   5.05694      2.548591      2.548330
   5.09102      2.724575      2.724315
   5.12511      2.908842      2.908582
   5.15920      3.101403      3.101143
   5.19329      3.302270      3.302011
   5.22738      3.511454      3.511196
   5.26146      3.728970      3.728712
   5.29555      3.954826      3.954569
   5.32964      4.189035      4.188779
   5.36373      4.431606      4.431351
   5.39782      4.682548      4.682294
   5.43191      4.941867      4.941613
   5.46599      5.209560      5.209308
   5.50008      5.485615      5.485364
   5.53417      5.769983      5.769733
   5.56826      6.062505      6.062258
   5.60235      6.362359      6.362119
   5.63644      6.639068      6.638877
 
# Band-Index    4
   5.63644      6.639068      6.638877
   5.60235      6.573660      6.573416
   5.56826      6.447245      6.446945
   5.53417      6.266436      6.266148
   5.50008      6.064631      6.064356
   5.46599      5.849209      5.848946
   5.43191      5.625962      5.625708
   5.39782      5.399159      5.398914
   5.36373      5.171898      5.171661
   5.32964      4.946458      4.946227
   5.29555      4.724584      4.724358
   5.26146      4.507690      4.507469
   5.22738      4.297036      4.296819
   5.19329      4.093891      4.093678
   5.15920      3.899744      3.899536
   5.12511      3.716649      3.716444
   5.09102      3.547913      3.547712
   5.05694      3.399604      3.399408
   5.02285      3.283956      3.283765
   4.98876      3.225197      3.225009
   4.98876      2.710666      2.710399
   4.92348      2.747472      2.747208
   4.85821      2.759990      2.759731
   4.79294      2.772310      2.772057
   4.72766      2.799036      2.798787
   4.66239      2.847688      2.847441
   4.59711      2.922055      2.921810
   4.53184      3.024073      3.023829
   4.46657      3.154714      3.154472
   4.40129      3.314402      3.314161
   4.33602      3.503206      3.502965
   4.27074      3.720912      3.720671
   4.20547      3.967031      3.966790
   4.14020      4.240721      4.240479
   4.07492      4.540598      4.540355
   4.00965      4.864303      4.864058
   3.94437      4.547777      4.547547
   3.87910      3.944587      3.944367
   3.81383      3.443936      3.443734
   3.74855      3.225197      3.225009
   3.74855      3.225197      3.225009
   3.71446      3.285119      3.284930
   3.68038      3.352800      3.352609
   3.64629      3.428014      3.427820
   3.61220      3.510469      3.510272
   3.57811      3.599796      3.599595
   3.54402      3.695536      3.695331
   3.50994      3.797111      3.796901
   3.47585      3.903803      3.903588
   3.44176      4.014708      4.014487
   3.40767      4.128683      4.128455
   3.37358      4.244273      4.244036
   3.33949      4.359609      4.359362
   3.30541      4.472308      4.472051
   3.27132      4.579333      4.579064
   3.23723      4.676923      4.676642
   3.20314      4.760597      4.760304
   3.16905      4.825432      4.825129
   3.13496      4.866713      4.866403
   3.10088      4.880910      4.880597
   3.10088      4.880910      4.880597
   3.06151      4.885956      4.885643
   3.02215      4.901093      4.900780
   2.98279      4.926326      4.926012
   2.94343      4.961664      4.961350
   2.90407      5.007114      5.006800
   2.86471      5.062687      5.062374
   2.82534      5.128397      5.128084
   2.78598      5.204259      5.203946
   2.74662      5.290293      5.289980
   2.70726      5.386517      5.386204
   2.66790      5.492954      5.492641
   2.62854      5.609626      5.609313
   2.58917      5.736558      5.736245
   2.54981      5.873776      5.873463
   2.51045      6.021305      6.020992
   2.47109      6.179167      6.178854
   2.43173      6.347391      6.347078
   2.39237      6.525999      6.525686
   2.35300      6.639068      6.638877
   2.35300      6.639068      6.638877
   2.29734      6.267117      6.266869
   2.24167      5.882116      5.881864
   2.18601      5.518871      5.518616
   2.13034      5.177782      5.177525
   2.07467      4.858898      4.858640
   2.01901      4.562213      4.561954
   1.96334      4.287699      4.287438
   1.90768      4.035321      4.035059
   1.85201      3.805043      3.804780
   1.79635      3.596827      3.596564
   1.74068      3.410638      3.410374
   1.68501      3.246442      3.246177
   1.62935      3.104207      3.103942
   1.57368      2.983904      2.983638
   1.51802      2.885510      2.885244
   1.46235      2.809003      2.808736
   1.40668      2.754367      2.754100
   1.35102      2.721590      2.721323
   1.29535      2.710666      2.710399
   1.29535      2.710666      2.710399
   1.22718      2.934062      2.933795
   1.15900      3.132679      3.132452
   1.09082      3.119635      3.119429
   1.02265      3.076913      3.076719
   0.95447      3.042019      3.041831
   0.88629      3.029579      3.029394
   0.81812      3.045796      3.045611
   0.74994      3.093359      3.093175
   0.68176      3.173197      3.173010
   0.61359      3.285119      3.284930
   0.54541      3.428014      3.427820
   0.47724      3.599796      3.599595
   0.40906      3.797111      3.796901
   0.34088      4.014708      4.014487
   0.27271      4.244273      4.244036
   0.20453      4.472308      4.472051
   0.13635      4.676923      4.676642
   0.06818      4.825432      4.825129
   0.00000      4.880910      4.880597
 
# Band-Index    5
   0.00000      4.880910      4.880597
   0.06818      5.170534      5.170258
   0.13635      5.619336      5.619073
   0.20453      6.113463      6.113206
   0.27271      6.644226      6.643973
   0.34088      7.209764      7.209515
   0.40906      7.809444      7.809199
   0.47724      7.569215      7.568945
   0.54541      6.983053      6.982785
   0.61359      6.429457      6.429189
   0.68176      5.908756      5.908488
   0.74994      5.421110      5.420843
   0.81812      4.966585      4.966318
   0.88629      4.545193      4.544925
   0.95447      4.156914      4.156647
   1.02265      3.801709      3.801442
   1.09082      3.479534      3.479266
   1.15900      3.190335      3.190068
   1.22718      2.934062      2.933795
   1.29535      2.710666      2.710399
   1.29535      2.710666      2.710399
   1.35102      2.979786      2.979523
   1.40668      3.195313      3.195060
   1.46235      3.365821      3.365581
   1.51802      3.513619      3.513389
   1.57368      3.657816      3.657593
   1.62935      3.809797      3.809579
   1.68501      3.975508      3.975294
   1.74068      4.157875      4.157662
   1.79635      4.358171      4.357958
   1.85201      4.576688      4.576474
   1.90768      4.813013      4.812798
   1.96334      5.066075      5.065856
   2.01901      5.333984      5.333761
   2.07467      5.613581      5.613351
   2.13034      5.899415      5.899174
   2.18601      6.181481      6.181225
   2.24167      6.440220      6.439944
   2.29734      6.637540      6.637239
   2.35300      6.715012      6.714699
   2.35300      6.715012      6.714699
   2.39237      6.525999      6.525686
   2.43173      6.347391      6.347078
   2.47109      6.179167      6.178854
   2.51045      6.021305      6.020992
   2.54981      5.873776      5.873463
   2.58917      5.736558      5.736245
   2.62854      5.609626      5.609313
   2.66790      5.492954      5.492641
   2.70726      5.386517      5.386204
   2.74662      5.290293      5.289980
   2.78598      5.204259      5.203946
   2.82534      5.128397      5.128084
   2.86471      5.062687      5.062374
   2.90407      5.007114      5.006800
   2.94343      4.961664      4.961350
   2.98279      4.926326      4.926012
   3.02215      4.901093      4.900780
   3.06151      4.885956      4.885643
   3.10088      4.880910      4.880597
   3.10088      4.880910      4.880597
   3.13496      4.979789      4.979497
   3.16905      5.170534      5.170258
   3.20314      5.387889      5.387621
   3.23723      5.619336      5.619073
   3.27132      5.861589      5.861330
   3.30541      6.113463      6.113206
   3.33949      6.374431      6.374176
   3.37358      6.644226      6.643973
   3.40767      6.922700      6.922449
   3.44176      7.209764      7.209515
   3.47585      7.505359      7.505112
   3.50994      7.809444      7.809199
   3.54402      7.874324      7.874053
   3.57811      7.569215      7.568945
   3.61220      7.272094      7.271825
   3.64629      6.983053      6.982785
   3.68038      6.702158      6.701890
   3.71446      6.429457      6.429189
   3.74855      6.164982      6.164714
   3.74855      6.164982      6.164714
   3.81383      5.900552      5.900291
   3.87910      5.560571      5.560318
   3.94437      5.207420      5.207172
   4.00965      5.193713      5.193472
   4.07492      5.850838      5.850578
   4.14020      6.412717      6.412411
   4.20547      6.428768      6.428478
   4.27074      6.076740      6.076483
   4.33602      5.685772      5.685528
   4.40129      5.305992      5.305755
   4.46657      4.948113      4.947878
   4.53184      4.615793      4.615560
   4.59711      4.310444      4.310211
   4.66239      4.032080      4.031847
   4.72766      3.778755      3.778519
   4.79294      3.544084      3.543842
   4.85821      3.310966      3.310715
   4.92348      3.036217      3.035950
   4.98876      2.710666      2.710399
   4.98876      6.164982      6.164714
   5.02285      6.118032      6.117765
   5.05694      6.079235      6.078969
   5.09102      6.048610      6.048345
   5.12511      6.026172      6.025908
   5.15920      6.011935      6.011671
   5.19329      6.005908      6.005645
   5.22738      6.008100      6.007838
   5.26146      6.018520      6.018258
   5.29555      6.037171      6.036911
   5.32964      6.064060      6.063800
   5.36373      6.099187      6.098928
   5.39782      6.142553      6.142295
   5.43191      6.194155      6.193898
   5.46599      6.253983      6.253727
   5.50008      6.322016      6.321761
   5.53417      6.398199      6.397946
   5.56826      6.482363      6.482113
   5.60235      6.598943      6.598634
   5.63644      6.715012      6.714699
 
# Band-Index    6
   5.63644      6.715012      6.714699
   5.60235      6.791287      6.791023
   5.56826      6.838136      6.837835
   5.53417      6.856343      6.856054
   5.50008      6.856194      6.855916
   5.46599      6.844521      6.844254
   5.43191      6.826408      6.826150
   5.39782      6.805389      6.805139
   5.36373      6.783800      6.783556
   5.32964      6.763077      6.762838
   5.29555      6.743930      6.743694
   5.26146      6.726406      6.726171
   5.22738      6.709809      6.709576
   5.19329      6.692441      6.692206
   5.15920      6.671033      6.670795
   5.12511      6.639703      6.639459
   5.09102      6.588341      6.588090
   5.05694      6.501564      6.501304
   5.02285      6.362590      6.362324
   4.98876      6.164982      6.164714
   4.98876      2.710666      2.710399
   4.92348      3.044465      3.044203
   4.85821      3.391962      3.391695
   4.79294      3.777912      3.777644
   4.72766      4.194042      4.193774
   4.66239      4.640277      4.640008
   4.59711      5.116448      5.116177
   4.53184      5.622216      5.621944
   4.46657      6.156906      6.156630
   4.40129      6.719067      6.718786
   4.33602      7.305162      7.304871
   4.27074      7.904156      7.903846
   4.20547      7.630032      7.629896
   4.14020      7.359977      7.359856
   4.07492      7.686312      7.686144
   4.00965      7.832926      7.832633
   3.94437      7.379349      7.379068
   3.87910      6.947355      6.947081
   3.81383      6.541935      6.541665
   3.74855      6.164982      6.164714
   3.74855      6.164982      6.164714
   3.71446      6.429457      6.429189
   3.68038      6.702158      6.701890
   3.64629      6.983053      6.982785
   3.61220      7.272094      7.271825
   3.57811      7.569215      7.568945
   3.54402      7.874324      7.874053
   3.50994      7.809444      7.809199
   3.47585      7.505359      7.505112
   3.44176      7.209764      7.209515
   3.40767      6.922700      6.922449
   3.37358      6.644226      6.643973
   3.33949      6.374431      6.374176
   3.30541      6.113463      6.113206
   3.27132      5.861589      5.861330
   3.23723      5.619336      5.619073
   3.20314      5.387889      5.387621
   3.16905      5.170534      5.170258
   3.13496      4.979789      4.979497
   3.10088      4.880910      4.880597
   3.10088      4.880910      4.880597
   3.06151      5.072064      5.071788
   3.02215      5.357846      5.357594
   2.98279      5.632455      5.632226
   2.94343      5.881727      5.881525
   2.90407      6.103243      6.103070
   2.86471      6.300182      6.300039
   2.82534      6.478666      6.478551
   2.78598      6.645375      6.645284
   2.74662      6.806109      6.806037
   2.70726      6.965299      6.965244
   2.66790      7.126104      7.126061
   2.62854      7.290662      7.290630
   2.58917      7.460360      7.460338
   2.54981      7.636039      7.636025
   2.51045      7.575379      7.575066
   2.47109      7.344630      7.344317
   2.43173      7.109243      7.109053
   2.39237      6.868295      6.868104
   2.35300      6.715012      6.714699
   2.35300      6.715012      6.714699
   2.29734      6.637540      6.637239
   2.24167      6.440220      6.439944
   2.18601      6.181481      6.181225
   2.13034      5.899415      5.899174
   2.07467      5.613581      5.613351
   2.01901      5.333984      5.333761
   1.96334      5.066075      5.065856
   1.90768      4.813013      4.812798
   1.85201      4.576688      4.576474
   1.79635      4.358171      4.357958
   1.74068      4.157875      4.157662
   1.68501      3.975508      3.975294
   1.62935      3.809797      3.809579
   1.57368      3.657816      3.657593
   1.51802      3.513619      3.513389
   1.46235      3.365821      3.365581
   1.40668      3.195313      3.195060
   1.35102      2.979786      2.979523
   1.29535      2.710666      2.710399
   1.29535      2.710666      2.710399
   1.22718      3.027203      3.026947
   1.15900      3.190335      3.190068
   1.09082      3.479534      3.479266
   1.02265      3.801709      3.801442
   0.95447      4.156914      4.156647
   0.88629      4.545193      4.544925
   0.81812      4.966585      4.966318
   0.74994      5.421110      5.420843
   0.68176      5.908756      5.908488
   0.61359      6.429457      6.429189
   0.54541      6.983053      6.982785
   0.47724      7.569215      7.568945
   0.40906      7.809444      7.809199
   0.34088      7.209764      7.209515
   0.27271      6.644226      6.643973
   0.20453      6.113463      6.113206
   0.13635      5.619336      5.619073
   0.06818      5.170534      5.170258
   0.00000      4.880910      4.880597
 
# Band-Index    7
   0.00000      7.684089      7.684244
   0.06818      7.766019      7.766165
   0.13635      7.993700      7.993825
   0.20453      8.329543      8.329646
   0.27271      8.739602      8.739688
   0.34088      8.835937      8.835663
   0.40906      8.187287      8.187016
   0.47724      8.442965      8.442723
   0.54541      8.256972      8.256824
   0.61359      7.769855      7.769712
   0.68176      7.295621      7.295482
   0.74994      6.837952      6.837815
   0.81812      6.400371      6.400237
   0.88629      5.986363      5.986231
   0.95447      5.599587      5.599458
   1.02265      5.244290      5.244163
   1.09082      4.926242      4.926119
   1.15900      4.655058      4.654940
   1.22718      4.450795      4.450683
   1.29535      4.362529      4.362422
   1.29535      4.362529      4.362422
   1.35102      4.434787      4.434675
   1.40668      4.644002      4.643875
   1.46235      4.965382      4.965238
   1.51802      5.366467      5.366309
   1.57368      5.821888      5.821719
   1.62935      6.316104      6.315928
   1.68501      6.840056      6.839875
   1.74068      7.388116      7.387932
   1.79635      7.956241      7.956056
   1.85201      8.540693      8.540509
   1.90768      9.136233      9.136052
   1.96334      9.728715      9.728548
   2.01901      9.595290      9.595053
   2.07467      9.053480      9.053240
   2.13034      8.533790      8.533546
   2.18601      8.036373      8.036125
   2.24167      7.561393      7.561143
   2.29734      7.109323      7.109067
   2.35300      6.715012      6.714699
   2.35300      6.715012      6.714699
   2.39237      6.914447      6.914135
   2.43173      7.124319      7.124006
   2.47109      7.344630      7.344317
   2.51045      7.575379      7.575066
   2.54981      7.816548      7.816234
   2.58917      8.068100      8.067787
   2.62854      8.329969      8.329656
   2.66790      8.602056      8.601742
   2.70726      8.884200      8.883886
   2.74662      9.176152      9.175837
   2.78598      9.446175      9.446173
   2.82534      9.061381      9.061400
   2.86471      8.710203      8.710247
   2.90407      8.401104      8.401175
   2.94343      8.142354      8.142454
   2.98279      7.940084      7.940207
   3.02215      7.796846      7.796987
   3.06151      7.712074      7.712225
   3.10088      7.684089      7.684244
   3.10088      7.684089      7.684244
   3.13496      7.704904      7.705057
   3.16905      7.766019      7.766165
   3.20314      7.863881      7.864017
   3.23723      7.993700      7.993825
   3.27132      8.150458      8.150571
   3.30541      8.329543      8.329646
   3.33949      8.527012      8.527105
   3.37358      8.739602      8.739688
   3.40767      8.964620      8.964699
   3.44176      8.835937      8.835663
   3.47585      8.507918      8.507645
   3.50994      8.187287      8.187016
   3.54402      8.121989      8.121745
   3.57811      8.442965      8.442723
   3.61220      8.504144      8.503993
   3.64629      8.256972      8.256824
   3.68038      8.012041      8.011896
