#K-Path     Band-1    Band-2    Band-3    Band-4      ...     Band-n
  0.0000  -12.4911  -10.3026  -10.3026  -10.3026   -6.7346   -6.7346   -6.7346   -2.6452   -2.6452   -2.6452   -2.6452   -2.6452   -2.6452   -0.1351   -0.1351   -0.1351    0.0425    1.3828    1.3828    1.3828    1.5267    1.5267    1.5267    3.5600    3.5600    3.5600    7.2887    9.6356    9.6356    9.6356    9.6356    9.6356    9.6356    9.8020    9.8020   10.4205   10.4205   10.4205   11.2420   11.2420   11.2420   12.6439   12.6439   12.6439   12.8771   12.8771   12.8771   12.8771   12.8771   12.8771   13.0119   13.0119   13.0119   14.1396   14.7345   14.7345   14.7345   18.6237   18.6238   18.6238   19.1139   19.1163   19.1184   19.1361
  0.0407  -12.4864  -10.3097  -10.3097  -10.3021   -6.7324   -6.7229   -6.7229   -2.6736   -2.6494   -2.6494   -2.6477   -2.6477   -2.6407   -0.3907   -0.1525   -0.1376    0.2822    1.3883    1.3883    1.4057    1.5547    1.5547    1.5567    3.5590    3.5650    3.5840    7.3210    9.5686    9.5771    9.5771    9.5950    9.5950    9.5986    9.7254    9.7785   10.3965   10.3965   10.4174   11.2395   11.2533   11.3391   12.4997   12.5515   12.5515   12.6948   12.8675   12.8675   12.9143   12.9143   13.0972   13.1510   13.1510   13.1800   14.1916   14.7900   14.7918   14.7918   18.3785   18.3785   18.4699   18.7615   18.7632   18.8609   18.9220
  0.0813  -12.4722  -10.3305  -10.3305  -10.3008   -6.7261   -6.6887   -6.6887   -2.7540   -2.6624   -2.6624   -2.6538   -2.6538   -2.6271   -0.7277   -0.2043   -0.1452    0.5713    1.4121    1.4121    1.4455    1.6305    1.6305    1.6710    3.5575    3.5800    3.6559    7.4156    9.3761    9.3761    9.3979    9.4927    9.4990    9.4990    9.5395    9.7105   10.3531   10.3531   10.3716   11.2356   11.2877   11.5866   12.3854   12.4123   12.4123   12.4367   12.8236   12.8236   13.0218   13.0218   13.4046   13.4209   13.4209   13.4448   14.3421   14.9425   14.9624   14.9624   17.8744   17.8744   18.1676   18.2807   18.2808   18.4437   18.8023
  0.1220  -12.4486  -10.3638  -10.3638  -10.2990   -6.7156   -6.6338   -6.6338   -2.8744   -2.6847   -2.6847   -2.6605   -2.6605   -2.6046   -1.0744   -0.2890   -0.1581    0.8379    1.4634    1.4634    1.4801    1.7427    1.7427    1.8798    3.5587    3.6050    3.7745    7.5665    9.0411    9.0411    9.1708    9.3091    9.3297    9.3718    9.3718    9.6058   10.2362   10.3130   10.3130   11.2378   11.3458   11.9199   12.1545   12.2865   12.2865   12.3934   12.7667   12.7667   13.1708   13.1708   13.6506   13.7102   13.7102   13.8244   14.5773   15.1619   15.2414   15.2414   17.3372   17.3372   17.8077   17.8077   17.8288   18.0432   18.7167
  0.1627  -12.4157  -10.4077  -10.4077  -10.2975   -6.7012   -6.5613   -6.5613   -3.0201   -2.7162   -2.7162   -2.6640   -2.6640   -2.5732   -1.4241   -0.4040   -0.1766    1.0756    1.5160    1.5454    1.5454    1.8842    1.8842    2.1620    3.5670    3.6400    3.9367    7.7649    8.6199    8.6199    8.9169    9.0702    9.1238    9.2252    9.2252    9.4769   10.0135   10.2640   10.2640   11.2525   11.4288   11.8577   12.1692   12.1692   12.3032   12.5071   12.7179   12.7179   13.3407   13.3407   13.9207   13.9753   13.9753   14.2151   14.8813   15.4201   15.6127   15.6127   16.8117   16.8117   17.3700   17.3700   17.4828   17.6624   18.6465
  0.2033  -12.3737  -10.4597  -10.4597  -10.2971   -6.6832   -6.4751   -6.4751   -3.1770   -2.7561   -2.7561   -2.6603   -2.6603   -2.5331   -1.7728   -0.5460   -0.2011    1.2835    1.5575    1.6582    1.6582    2.0504    2.0504    2.4992    3.5864    3.6850    4.1358    8.0004    8.1530    8.1530    8.6522    8.8394    8.8883    9.0653    9.0653    9.3395    9.7330   10.1925   10.1925   11.2834   11.5385   11.5536   12.0479   12.0479   12.6876   12.6923   12.6923   12.7202   13.5175   13.5175   14.1990   14.1990   14.2122   14.5988   15.2395   15.6967   16.0314   16.0314   16.3135   16.3135   17.0021   17.0021   17.1420   17.3099   18.5902
  0.2440  -12.3227  -10.5177  -10.5177  -10.2991   -6.6617   -6.3796   -6.3796   -3.3331   -2.8027   -2.8027   -2.6453   -2.6453   -2.4845   -2.1181   -0.7110   -0.2320    1.4637    1.6059    1.8003    1.8003    2.2371    2.2371    2.8779    3.6199    3.7401    4.3607    7.6655    7.6655    8.2612    8.3862    8.6249    8.6334    8.8948    8.8948    9.2117    9.4211   10.0941   10.0941   11.2477   11.3315   11.6772   11.9137   11.9137   12.6940   12.6940   12.9018   13.1629   13.6856   13.6856   14.3774   14.3774   14.5197   14.9481   15.6404   15.8379   15.8379   15.9788   16.3514   16.3514   16.8141   16.8472   16.8472   17.0057   18.5583
  0.2847  -12.2629  -10.5792  -10.5792  -10.3047   -6.6367   -6.2792   -6.2792   -3.4789   -2.8542   -2.8542   -2.6153   -2.6153   -2.4576   -2.4277   -0.8948   -0.2699    1.6203    1.6613    1.9693    1.9693    2.4404    2.4404    3.2875    3.6693    3.8053    4.5969    7.1730    7.1730    8.1259    8.3670    8.4314    8.5316    8.7146    8.7146    9.0948    9.1164    9.9707    9.9707   10.9440   11.3965   11.7639   11.7639   11.8475   12.7156   12.7156   13.1267   13.6269   13.8187   13.8187   14.5138   14.5138   14.8378   15.2078   15.4163   15.4163   16.0752   16.2579   16.2896   16.2896   16.5028   16.7996   17.1397   17.1397   18.5834
  0.3253  -12.1948  -10.6421  -10.6421  -10.3155   -6.6080   -6.1785   -6.1785   -3.6072   -2.9088   -2.9088   -2.7898   -2.5668   -2.5668   -2.3629   -1.0931   -0.3150    1.7235    1.7579    2.1625    2.1625    2.6557    2.6557    3.7183    3.7354    3.8807    4.8267    6.6865    6.6865    7.8776    8.0947    8.2618    8.5238    8.5238    8.7641    8.7737    9.0998    9.8268    9.8268   10.6455   11.4780   11.5990   11.5990   12.0524   12.7441   12.7441   13.3450   13.8739   13.8739   14.1095   14.6139   14.6139   15.0713   15.0713   15.1614   15.2919   16.2031   16.2031   16.2113   16.5290   16.5369   16.7719   17.4694   17.4694   18.7133
  0.3660  -12.1185  -10.7046  -10.7046  -10.3332   -6.5750   -6.0814   -6.0814   -3.7128   -3.1131   -2.9644   -2.9644   -2.4972   -2.4972   -2.2905   -1.3016   -0.3678    1.7918    1.8809    2.3765    2.3765    2.8777    2.8777    3.8185    3.9662    4.1599    5.0318    6.2163    6.2163    7.6486    7.8208    8.1179    8.3211    8.3211    8.4355    8.9058    9.2521    9.6678    9.6678   10.3545   11.4201   11.4201   11.5757   12.2946   12.7646   12.7646   13.5401   13.8225   13.8225   14.5646   14.5646   14.6088   14.9641   14.9641   15.1805   15.4866   15.9479   16.2059   16.2059   16.7898   16.9290   17.0190   17.6584   17.6584   18.1845
